ID,Profile,TimeMinutes,Q4,Q5,Q6,Q7,Q8,Q9,Q10,Q11,Q12,Q13,Q14,Q15,Q16,Q17,Q18,Q19,Q20,Q23
R1,ML,11,User task execution data,Message reception,"Config1 is message-oriented using AMQP while config2 is HTTP-based",correlation-key,Duration of manual inspection,substract,"Defines the event where the feature is computed",Time interval for aggregation,"Links IoT data with process instances using batchId",Define how features are combined into a dataset,Column renaming,As a separate attribute referencing a feature,"Defines how data is split into train, validation and test sets",Classification,Random Forest,"Controls model parameters like trees and depth",When the model is trained,Rows with missing values are removed
R2,ML,12,User task execution data,Message reception,"One uses messaging while the other uses HTTP APIs",correlation-key,Duration of manual inspection,substract,"Specifies when the feature is calculated",Time interval for aggregation,"Connects IoT data with process instances",Define how features are combined into a dataset,Column renaming,As a separate attribute referencing a feature,"Splits dataset for training and validation",Classification,Random Forest,"Defines algorithm configuration",When the model is trained,Rows with missing values are removed
R3,ML,13,User task execution data,Message reception,"Message broker vs REST API communication",correlation-key,Duration of manual inspection,substract,"Defines computation point in process",Time interval for aggregation,"Associates IoT data with batchId",Define how features are combined into a dataset,Column renaming,As a separate attribute referencing a feature,"Divides dataset into subsets",Classification,Random Forest,"Controls training behaviour",When the model is trained,Rows with missing values are removed
R4,ML,10,User task execution data,Message reception,"AMQP messaging vs HTTP polling",correlation-key,Duration of manual inspection,substract,"Defines process event for feature calculation",Time interval for aggregation,"Ensures correct mapping between IoT and process data",Define how features are combined into a dataset,Column renaming,As a separate attribute referencing a feature,"Defines train validation test proportions",Classification,Random Forest,"Defines hyperparameters like depth and estimators",When the model is trained,Rows with missing values are removed
R5,ML,12,User task execution data,Message reception,"Different communication protocols",correlation-key,Duration of manual inspection,substract,"Indicates when feature is computed",Time interval for aggregation,"Links sensor data to process instance",Define how features are combined into a dataset,Column renaming,As a separate attribute referencing a feature,"Splits data for training",Classification,Random Forest,"Configures model parameters",When the model is trained,Rows with missing values are removed
R6,ML,14,User task execution data,Message reception,"Message vs HTTP communication",correlation-key,Duration of manual inspection,substract,"Defines execution point",Time interval for aggregation,"Relates IoT to process using id",Define how features are combined into a dataset,Column renaming,As a separate attribute referencing a feature,"Separates training and validation data",Classification,Random Forest,"Sets model configuration",When the model is trained,Rows with missing values are removed
R7,ML,11,User task execution data,Message reception,"AMQP vs REST",correlation-key,Duration of manual inspection,substract,"Defines feature computation event",Time interval for aggregation,"Maps IoT data to batch",Define how features are combined into a dataset,Column renaming,As a separate attribute referencing a feature,"Defines dataset splits",Classification,Random Forest,"Controls algorithm parameters",When the model is trained,Rows with missing values are removed

R8,BPM,18,User task execution data,Message reception,"They use different communication approaches",correlation-key,Duration of manual inspection,substract,"Indicates when feature is calculated",Time interval for aggregation,"Connects IoT data to process",Define how features are combined into a dataset,Column renaming,As a separate attribute referencing a feature,"Splits data for training",Classification,Random Forest,"Defines parameters",When the model is trained,Rows with missing values are removed
R9,BPM,19,User task execution data,Message reception,"Different technologies for IoT integration",correlation-key,Duration of manual inspection,substract,"Defines moment of calculation",Time interval for aggregation,"Links IoT with process data",Define how features are combined into a dataset,Column renaming,As a separate attribute referencing a feature,"Separates training data",Classification,Random Forest,"Configures model",When the model is trained,Rows with missing values are removed
R10,BPM,20,User task execution data,Message reception,"Different protocols",correlation-key,Duration of manual inspection,substract,"Defines execution time",Time interval for aggregation,"Associates data with process",Define how features are combined into a dataset,Column renaming,As a separate attribute referencing a feature,"Splits dataset",Classification,Random Forest,"Defines parameters",When the model is trained,Rows with missing values are removed
R11,BPM,17,User task execution data,Message reception,"AMQP vs HTTP",correlation-key,Duration of manual inspection,substract,"Defines calculation point",Time interval for aggregation,"Links IoT data",Define how features are combined into a dataset,Column renaming,As a separate attribute referencing a feature,"Splits dataset into parts",Classification,Random Forest,"Sets configuration",When the model is trained,Rows with missing values are removed
R12,BPM,18,User task execution data,Message reception,"Different integration mechanisms",correlation-key,Duration of manual inspection,substract,"Indicates when feature is executed",Time interval for aggregation,"Relates IoT and process",Define how features are combined into a dataset,Column renaming,As a separate attribute referencing a feature,"Defines dataset split",Classification,Random Forest,"Defines training parameters",When the model is trained,Rows with missing values are removed

R13,IoT,13,User task execution data,Message reception,"Message-based vs HTTP-based sensors",correlation-key,Duration of manual inspection,substract,"Defines when feature is computed",Time interval for aggregation,"Maps IoT data to batchId",Define how features are combined into a dataset,Column renaming,As a separate attribute referencing a feature,"Splits dataset",Classification,Random Forest,"Defines hyperparameters",When the model is trained,Rows with missing values are removed
R14,IoT,14,User task execution data,Message reception,"AMQP vs REST APIs",correlation-key,Duration of manual inspection,substract,"Defines event for calculation",Time interval for aggregation,"Links IoT streams with process",Define how features are combined into a dataset,Column renaming,As a separate attribute referencing a feature,"Train validation test split",Classification,Random Forest,"Configures model",When the model is trained,Rows with missing values are removed
R15,IoT,12,User task execution data,Message reception,"Different IoT communication paradigms",correlation-key,Duration of manual inspection,substract,"Defines computation event",Time interval for aggregation,"Associates IoT data with process instance",Define how features are combined into a dataset,Column renaming,As a separate attribute referencing a feature,"Dataset splitting",Classification,Random Forest,"Controls model parameters",When the model is trained,Rows with missing values are removed
R16,IoT,15,User task execution data,Message reception,"Message broker vs HTTP polling",correlation-key,Duration of manual inspection,substract,"Defines when feature runs",Time interval for aggregation,"Links sensor data to process",Define how features are combined into a dataset,Column renaming,As a separate attribute referencing a feature,"Splits data",Classification,Random Forest,"Defines hyperparameters",When the model is trained,Rows with missing values are removed
R17,IoT,14,User task execution data,Message reception,"AMQP vs HTTP",correlation-key,Duration of manual inspection,substract,"Defines calculation point",Time interval for aggregation,"Maps IoT data to process",Define how features are combined into a dataset,Column renaming,As a separate attribute referencing a feature,"Train test split",Classification,Random Forest,"Configures parameters",When the model is trained,Rows with missing values are removed
R18,IoT,16,User task execution data,Message reception,"Different protocols for IoT data",correlation-key,Duration of manual inspection,substract,"Defines event",Time interval for aggregation,"Links IoT to process",Define how features are combined into a dataset,Column renaming,As a separate attribute referencing a feature,"Splits dataset",Classification,Random Forest,"Defines model configuration",When the model is trained,Rows with missing values are removed
